batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean
19,81,5,118,45,1,1,1,1,34.38878059387207,33.585548400878906,34.028172492980964,33.99040699005127,33.99121761322021
41,412,2,22,15,1,1,1,1,84.40160751342773,83.74738693237305,84.01060104370117,84.00771617889404,83.99102091789246
27,105,1,64,71,2,0,0,0,4.031419754028319,2.769947052001953,3.24857234954834,3.3089399337768555,3.286004066467285
14,282,2,33,26,4,1,0,1,3.4396648406982417,2.718448638916016,3.3409595489501958,3.240585327148437,3.2809674739837646
24,384,1,19,10,4,0,1,0,3.919124603271485,3.010272979736328,3.252863883972168,3.35845947265625,3.3318996429443364
12,367,4,15,1,1,0,1,0,26.80325508117676,26.05152130126953,26.129484176635746,26.2204647064209,26.168733835220337
55,309,2,24,21,2,0,1,0,28.69772911071777,28.24521064758301,28.53834629058838,28.53789329528809,28.55449914932251
17,416,6,22,7,3,1,0,1,16.935348510742188,16.212940216064453,16.631126403808597,16.650032997131348,16.669005155563354
63,118,3,63,29,4,1,1,1,7.1260929107666025,6.472349166870117,7.079005241394043,6.9580078125,6.99770450592041
31,180,4,53,51,1,0,1,0,104.78568077087402,103.41811180114746,103.9491891860962,103.96533012390137,103.93118858337402
11,3,1,2720,919,3,1,1,0,0.4949569702148438,0.3786087036132813,0.42057037353515625,0.4234790802001953,0.4201531410217285
24,252,3,2,18,4,1,1,0,2.3093223571777344,1.556396484375,1.781940460205078,1.8607378005981443,1.8427073955535889
12,428,4,1,14,2,0,1,1,6.787300109863281,5.7179927825927725,6.627678871154785,6.334114074707031,6.354480981826782
34,366,5,23,16,1,1,0,1,175.16732215881348,174.13043975830078,174.6574640274048,174.65410232543945,174.65540766716003
40,264,6,33,18,3,0,0,0,33.730268478393555,33.19311141967773,33.32829475402832,33.356738090515144,33.33050012588501
29,219,3,6,25,3,0,0,1,3.4649372100830083,2.7306079864501958,3.24249267578125,3.175806999206543,3.1953155994415283
29,390,1,6,20,4,1,0,0,4.857301712036133,3.6683082580566406,4.0488243103027335,4.055643081665038,4.003852605819701
26,324,5,8,21,3,1,1,1,6.362438201904298,5.614995956420898,5.85782527923584,5.9069156646728525,5.886465311050415
19,425,1,3,21,4,0,0,1,3.406047821044922,2.3479461669921875,3.333449363708496,3.201222419738769,3.2822787761688232
3,104,7,34,31,2,1,1,1,1.7898082733154297,1.3000965118408203,1.4618635177612305,1.4768600463867188,1.4598369598388672
37,474,6,4,2,4,1,1,1,7.5736045837402335,7.3146820068359375,7.477164268493652,7.4820518493652335,7.4915289878845215
18,98,1,37,56,3,1,1,0,0.9403228759765624,0.5030632019042969,0.8029937744140625,0.7577180862426758,0.7667243480682373
58,271,3,30,9,4,0,0,1,12.05897331237793,11.014223098754883,11.587381362915039,11.42876148223877,11.40180230140686
46,272,4,8,9,2,1,0,0,9.662866592407227,8.668422698974611,9.165763854980467,9.170198440551758,9.171336889266966
26,268,3,17,2,3,1,0,0,4.051685333251953,3.8557052612304688,3.9155483245849614,3.9166688919067374,3.90741229057312
61,141,1,44,37,1,0,0,1,19.756555557250977,19.61660385131836,19.669175148010254,19.672155380249023,19.668549299240112
37,174,2,21,35,1,1,1,0,35.0039005279541,34.03162956237793,34.268617630004876,34.377622604370124,34.34258699417114
4,236,2,34,39,1,0,1,0,7.746458053588867,7.3451995849609375,7.616877555847168,7.5783491134643555,7.586479187011719
