batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean
33,116,7,71,47,2,1,0,1,43.92790794372559,43.34712028503418,43.615102767944336,43.61104965209961,43.60443353652954
54,90,1,90,36,3,1,1,0,2.796649932861328,1.839160919189453,1.88899040222168,2.0597457885742188,1.9952058792114256
15,181,3,15,49,4,1,0,0,1.3532638549804688,1.1668205261230469,1.2085437774658203,1.221323013305664,1.2116432189941406
1,263,3,21,16,3,1,0,0,0.3964900970458984,0.3707408905029297,0.3757476806640625,0.3797292709350586,0.3787577152252197
51,391,5,22,19,3,1,1,1,46.94151878356934,46.70548439025879,46.82660102844238,46.82772159576416,46.828776597976685
46,209,1,15,4,3,1,0,0,3.0491352081298833,2.6791095733642583,2.8057098388671875,2.8186321258544917,2.807259559631348
7,235,1,22,23,2,1,1,1,2.310037612915039,1.869440078735352,2.0520687103271484,2.0673990249633794,2.0618140697479252
29,162,4,5,13,3,1,1,1,1.8565654754638672,1.3628005981445312,1.6297101974487305,1.5887498855590818,1.5835165977478027
6,238,4,37,14,3,0,1,0,2.575159072875977,1.914262771606445,2.01272964477539,2.068185806274414,2.0240545272827153
47,191,5,30,25,2,0,0,0,27.02617645263672,26.5195369720459,26.70598030090332,26.72433853149414,26.712208986282352
8,22,2,49,343,3,0,1,1,0.4332065582275391,0.2062320709228516,0.3204345703125,0.3200292587280273,0.3201067447662353
44,24,7,181,351,1,1,1,1,104.82048988342285,100.24237632751465,101.18722915649414,101.55088901519777,101.30575299263
63,389,1,7,23,3,0,0,1,20.485639572143555,19.94466781616211,20.189285278320312,20.209598541259766,20.2082097530365
52,430,4,1,9,1,0,0,0,99.72977638244629,97.37515449523926,98.80256652832031,98.80063533782959,98.8626778125763
39,132,2,23,63,1,0,0,0,21.45242691040039,20.355224609375,20.78545093536377,20.80395221710205,20.77898383140564
55,265,4,21,25,1,0,0,1,117.36607551574707,116.67895317077637,116.92297458648682,116.9520616531372,116.93444848060608
7,101,4,11,81,1,0,1,1,3.9770603179931636,2.8839111328125,3.154277801513672,3.2370805740356445,3.188729286193848
8,353,3,5,12,4,0,0,0,1.662492752075195,1.245260238647461,1.341700553894043,1.394963264465332,1.380234956741333
23,446,4,13,3,1,0,1,1,70.79458236694336,69.22721862792969,69.91159915924072,69.89479064941406,69.86576318740846
4,335,5,21,17,1,1,1,1,19.20914649963379,18.10741424560547,18.831372261047363,18.657374382019047,18.657147884368893
40,357,7,26,10,3,1,0,1,54.31103706359863,53.05361747741699,53.47931385040283,53.47371101379394,53.42155694961548
60,149,4,51,64,4,0,0,0,14.53256607055664,14.024972915649414,14.324069023132324,14.314961433410645,14.324009418487547
62,400,7,17,16,4,0,1,0,50.33278465270996,49.37005043029785,49.82757568359375,49.79519844055176,49.78114366531372
